390,04-22T13:56:43,04-22T14:09:04,1
391,04-22T14:46:48,04-22T15:23:15,1
392,04-22T15:23:25,04-22T15:33:06,1
393,04-22T15:49:37,04-22T15:51:03,1
394,04-22T15:53:32,04-22T16:03:12,2
395,04-22T15:58:38,04-23T13:27:51,5
396,04-22T20:01:02,04-23T15:07:32,10
397,04-23T13:42:49,04-23T13:43:57,1
398,04-23T14:11:39,04-23T14:49:33,1
399,04-23T14:12:41,04-23T14:47:43,1
400,04-23T15:23:45,04-24T09:42:34,3
410,04-24T09:19:39,04-24T09:43:40,1
411,04-24T09:47:45,04-24T10:41:33,1
412,04-24T10:02:02,04-24T11:33:41,1
413,04-24T10:26:14,04-24T11:24:20,6
414,04-24T10:26:24,04-24T11:06:28,5
415,04-24T10:34:44,04-24T10:44:02,2
416,04-24T10:49:46,04-24T11:06:06,1
417,04-24T11:13:10,04-24T11:20:48,1
418,04-24T11:13:37,04-24T11:19:59,0
419,04-24T11:19:34,04-24T11:33:21,1
420,04-24T11:27:58,04-24T11:31:19,1
421,04-24T13:51:08,04-24T13:59:39,1
423,04-24T18:04:08,04-30T15:04:46,1
424,04-27T02:27:34,04-27T02:29:37,1
425,04-27T02:59:29,04-28T13:17:44,3
426,04-27T04:07:20,04-28T13:09:22,0
427,04-27T04:16:45,04-28T13:22:47,1
428,04-27T04:16:58,04-28T13:28:46,1
429,04-27T04:17:07,04-28T13:08:32,1
430,04-27T20:21:54,04-28T13:57:37,1
431,04-27T20:41:03,04-29T18:56:46,9
432,04-27T21:59:44,04-28T13:48:47,3
433,04-27T22:46:59,04-28T02:48:33,2
434,04-28T04:23:04,04-28T12:32:35,2
435,04-28T13:40:21,04-28T20:12:55,1
436,04-28T20:09:57,04-28T20:15:24,1
437,04-29T04:17:17,04-29T19:10:54,1
438,04-29T06:12:50,04-29T19:05:31,1
439,04-29T06:29:38,04-30T15:03:59,1
442,04-29T19:19:00,04-30T15:05:30,3
443,04-30T04:23:01,04-30T15:01:14,1
445,04-30T15:19:03,04-30T19:33:30,0
446,04-30T15:19:48,05-01T14:25:05,0
455,04-30T15:44:00,04-30T19:25:57,1
456,04-30T19:36:52,05-01T14:20:17,0
457,05-01T04:29:17,05-01T14:25:30,0
462,05-01T14:33:42,05-01T14:49:09,2
463,05-01T14:36:10,05-01T14:48:07,0
464,05-01T14:53:00,05-01T14:59:26,1
465,05-01T14:53:20,05-04T19:45:21,7
466,05-01T14:53:37,05-04T19:47:06,10
467,05-01T15:01:33,05-01T15:19:29,2
468,05-01T15:09:19,05-04T20:04:22,6
470,05-02T04:14:02,05-03T19:20:44,0
471,05-03T04:22:00,05-03T20:02:00,2
472,05-04T04:41:20,05-04T04:41:38,0
473,05-04T04:47:24,05-04T13:31:30,0
474,05-04T04:47:36,05-04T13:30:51,0
475,05-04T19:27:34,05-10T19:48:57,19
476,05-04T19:57:13,05-04T20:18:22,3
478,05-04T20:28:21,05-04T22:13:04,6
480,05-04T21:18:56,05-04T22:08:24,0
481,05-04T21:20:36,05-06T16:04:30,10
482,05-04T21:25:02,05-06T17:14:55,5
483,05-04T21:54:14,05-06T15:17:10,5
484,05-04T22:02:29,05-04T22:13:21,0
486,05-05T04:09:08,05-05T04:09:21,0
487,05-06T04:14:31,05-06T04:14:44,0
488,05-06T06:20:22,05-06T14:40:22,0
489,05-06T15:41:18,05-06T16:54:58,13
490,05-06T15:46:59,05-08T17:38:52,4
493,05-06T16:53:44,05-06T17:24:08,0
494,05-06T17:02:32,05-06T17:27:16,0
495,05-06T17:03:25,05-06T17:26:16,0
496,05-06T17:04:49,05-07T20:19:02,2
497,05-06T17:15:27,05-07T21:12:35,8
